col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v075,How satisfied are you with each of the following attributes or aspects of your degree? Hours worked,Q27.b,,,,,
v076,How satisfied are you with each of the following attributes or aspects of your degree? Social environment,Q27.c,,,,,
v077,How satisfied are you with each of the following attributes or aspects of your degree? Degree of independence,Q27.d,,,,,
v078,How satisfied are you with each of the following attributes or aspects of your degree? Recognition from supervisor,Q27.e,,,,,
v079,How satisfied are you with each of the following attributes or aspects of your degree? Overall relationship with supervisor,Q27.f,,,,,
v080,How satisfied are you with each of the following attributes or aspects of your degree? Overall compensation and benefits,Q27.g,,,,,
v081,How satisfied are you with each of the following attributes or aspects of your degree? Vacation time,Q27.h,,,,,
v082,How satisfied are you with each of the following attributes or aspects of your degree? Guidance received from adviser in lab/research ,Q27.i,,,,,
v083,How satisfied are you with each of the following attributes or aspects of your degree? Ability to attend meetings and conferences,Q27.j,,,,,
v084,How satisfied are you with each of the following attributes or aspects of your degree? Work-life balance,Q27.k,,,,,
v085,How satisfied are you with each of the following attributes or aspects of your degree? Career pathway guidance and advice,Q27.l,,,,,
v086,How satisfied are you with each of the following attributes or aspects of your degree? Quality of teaching,Q27.m,,,,,
v087,How satisfied are you with each of the following attributes or aspects of your degree? Balance of teaching and practical elements,Q27.n,,,,,
v088,To what extent does your graduate degree program compare to your initial expectations?,Q28,,,,,
v089,"On average, how many hours a week do you typically spend on your graduate degree?",Q29,,,,,
v090,"On average, how much one-on-one contact time do you spend with your supervisor each week?",Q30,,,,,
v091,My supervisor … Makes time for frank conversations about my career   ,Q32.a,,,,,
v092,My supervisor … Is open to the idea of me pursuing a career outside academia,Q32.b,,,,,
v093,My supervisor … Has useful advice for careers outside academia,Q32.c,,,,,
v094,My supervisor … Has encouraged me to attend career training and events,Q32.d,,,,,
v095,Have you ever received help for anxiety or depression linked to/connected to your studies?,Q33,,,,,
v096,Did you seek help for anxiety or depression within your institution? ,Q34,,,,,
v097,Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students,Q35.a,,,,,
v098,My supervisor has a good awareness of support services and was able to signpost me to them if needed,Q35.b,,,,,
v099,My university offers adequate one-to-one mental health support,Q35.c,,,,,
v100,"My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities)",Q35.d,,,,,
v101,My university supports good work-life balance,Q35.e,,,,,
v102,"There is a long-hours culture at my university, including sometimes working through the night     ",Q35.f,,,,,
v103,Do you feel that you have experienced bullying during your graduate degree?,Q36,,,,,
v104,Who was the perpetrator(s)? Please select all that apply.,Q37:1,,,,,
v105,Who was the perpetrator(s)? Please select all that apply.,Q37:2,,,,,
v106,Who was the perpetrator(s)? Please select all that apply.,Q37:3,,,,,
v107,Who was the perpetrator(s)? Please select all that apply.,Q37:4,,,,,
v108,Who was the perpetrator(s)? Please select all that apply.,Q37:5,,,,,
v109,Who was the perpetrator(s)? Please select all that apply.,Q37:6,,,,,
v110,Who was the perpetrator(s)? Please select all that apply.,Q37:7,,,,,
v111,Do you feel able to speak out about your experiences of bullying without personal repercussions?,Q38,,,,,
v112,Do you feel that you have experienced discrimination or harassment during your graduate degree?,Q39,,,,,
v113,Which of the following have you experienced? ,Q40:1,,,,,
v114,Which of the following have you experienced? ,Q40:2,,,,,
v115,Which of the following have you experienced? ,Q40:3,,,,,
v116,Which of the following have you experienced? ,Q40:4,,,,,
v117,Which of the following have you experienced? ,Q40:5,,,,,
v118,Which of the following have you experienced? ,Q40:6,,,,,
v119,Which of the following have you experienced? ,Q40:7,,,,,
v120,Which of the following have you experienced? ,Q40:8,,,,,
v121,Which of the following have you experienced? ,Q40:9,,,,,
v122,Which of the following have you experienced? ,Q40:10,,,,,
v123,How much do you expect your graduate degree to improve your job prospects?,Q41.a,,,,,
v124,Academia ,Q42.a:1,,,,,
v125,Academia ,Q42.a:2,,,,,
v126,Academia ,Q42.a:3,,,,,
v127,Academia ,Q42.a:4,,,,,
v128,Academia ,Q42.a:5,,,,,
v129,Industry ,Q42.b:1,,,,,
v130,Industry ,Q42.b:2,,,,,
v131,Industry ,Q42.b:3,,,,,
v132,Industry ,Q42.b:4,,,,,
v133,Industry ,Q42.b:5,,,,,
v134,Government ,Q42.c:1,,,,,
v135,Government ,Q42.c:2,,,,,
v136,Government ,Q42.c:3,,,,,
v137,Government ,Q42.c:4,,,,,
v138,Government ,Q42.c:5,,,,,
v139,Non-profit ,Q42.d:1,,,,,
v140,Non-profit ,Q42.d:2,,,,,
v141,Non-profit ,Q42.d:3,,,,,
v142,Non-profit ,Q42.d:4,,,,,
v143,Non-profit ,Q42.d:5,,,,,
v144,Medical,Q42.e:1,,,,,
v145,Medical,Q42.e:2,,,,,
v146,Medical,Q42.e:3,,,,,
v147,Medical,Q42.e:4,,,,,
v148,Medical,Q42.e:5,,,,,
v149,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:1,,,,,
v150,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:2,,,,,
v151,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:3,,,,,
v152,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:4,,,,,
v153,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:5,,,,,
v154,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:6,,,,,
v155,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:7,,,,,
v156,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:8,,,,,
v157,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:9,,,,,
v158,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:10,,,,,
v159,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:11,,,,,
v160,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:12,,,,,
v161,"If you’re unlikely to pursue an academic research career, what are the main reasons? ",Q43:13,,,,,
v162,"In terms of the quality of your graduate degree program, do you think that the COVID-19 pandemic has…",Q44,,,,,
v163,How long do you think it will take you to find a permanent (non-trainee) position after you graduate?,Q47,,,,,
v164,How much more likely are you now to pursue a research career than when you launched your graduate degree?,Q48.a,,,,,
v165,How do you learn about available career opportunities that are beyond academia? ,Q49:1,,,,,
v166,How do you learn about available career opportunities that are beyond academia? ,Q49:2,,,,,
v167,How do you learn about available career opportunities that are beyond academia? ,Q49:3,,,,,
v168,How do you learn about available career opportunities that are beyond academia? ,Q49:4,,,,,
v169,How do you learn about available career opportunities that are beyond academia? ,Q49:5,,,,,
v170,How do you learn about available career opportunities that are beyond academia? ,Q49:6,,,,,
v171,How do you learn about available career opportunities that are beyond academia? ,Q49:7,,,,,
v172,How do you learn about available career opportunities that are beyond academia? ,Q49:8,,,,,
v173,How do you learn about available career opportunities that are beyond academia? ,Q49:9,,,,,
v174,How do you learn about available career opportunities that are beyond academia? ,Q49:10,,,,,
v175,How do you learn about available career opportunities that are beyond academia? ,Q49:11,,,,,
v176,How do you learn about available career opportunities that are beyond academia? ,Q49:12,,,,,
v177,How do you learn about available career opportunities that are beyond academia? ,Q49:13,,,,,
v178,How do you learn about available career opportunities that are beyond academia? ,Q49:14,,,,,
v179,How do you learn about available career opportunities that are beyond academia? ,Q49:15,,,,,
v180,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:1,,,,,
v181,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:2,,,,,
v182,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:3,,,,,
v183,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:4,,,,,
v184,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:5,,,,,
v185,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:6,,,,,
v186,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:7,,,,,
v187,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:8,,,,,
v188,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:1,,,,,
v189,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:2,,,,,
v190,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:3,,,,,
v191,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:4,,,,,
v192,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:5,,,,,
v193,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:6,,,,,
v194,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:7,,,,,
v195,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:8,,,,,
v196,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51.a,,,,,
v197,How well is your current graduate degree preparing you to carry out each of the following activities? Collecting and analyzing data     ,Q52.a,,,,,
v198,How well is your current graduate degree preparing you to carry out each of the following activities? Designing robust reproducible experiments,Q52.b,,,,,
v199,How well is your current graduate degree preparing you to carry out each of the following activities? Writing a paper for publication in a peer-reviewed journal,Q52.c,,,,,
v200,How well is your current graduate degree preparing you to carry out each of the following activities? Applying for funding ,Q52.d,,,,,
v201,How well is your current graduate degree preparing you to carry out each of the following activities? Finding a satisfying career,Q52.e,,,,,
v202,How well is your current graduate degree preparing you to carry out each of the following activities? Managing complex projects,Q52.f,,,,,
v203,How well is your current graduate degree preparing you to carry out each of the following activities? Developing a business plan,Q52.g,,,,,
v204,How well is your current graduate degree preparing you to carry out each of the following activities? Managing people,Q52.h,,,,,
v205,How well is your current graduate degree preparing you to carry out each of the following activities? Managing a large operational budget,Q52.i,,,,,
v206,I feel that my graduate degree program is preparing me well for a research career,Q53.a,,,,,
v207,I feel that my graduate degree program is preparing me well for a non-research science-related career,Q53.b,,,,,
v208,"Which, if any, of the following activities have you done to advance your career? ",Q54:1,,,,,
v209,"Which, if any, of the following activities have you done to advance your career? ",Q54:2,,,,,
v210,"Which, if any, of the following activities have you done to advance your career? ",Q54:3,,,,,
v211,"Which, if any, of the following activities have you done to advance your career? ",Q54:4,,,,,
v212,"Which, if any, of the following activities have you done to advance your career? ",Q54:5,,,,,
v213,"Which, if any, of the following activities have you done to advance your career? ",Q54:6,,,,,
v214,"Which, if any, of the following activities have you done to advance your career? ",Q54:7,,,,,
v215,"Which, if any, of the following activities have you done to advance your career? ",Q54:8,,,,,
v216,What would you do differently right now if you were starting your graduate degree? ,Q55:1,,,,,
v217,What would you do differently right now if you were starting your graduate degree? ,Q55:2,,,,,
v218,What would you do differently right now if you were starting your graduate degree? ,Q55:3,,,,,
v219,What would you do differently right now if you were starting your graduate degree? ,Q55:4,,,,,
v220,What would you do differently right now if you were starting your graduate degree? ,Q55:5,,,,,
v221,What would you do differently right now if you were starting your graduate degree? ,Q55:6,,,,,
v222,Name:,Q67.a,,,,,
