resp_id,degree_label,degree_code_int,region_continent,hours_level,high_stress_group,v089,v089_code,worklife_score,v084_num,degree_duration_text,degree_duration_years,degree_progress_text,degree_progress_years,study_in_home_country,study_in_home_country_flag,high_hours_flag,low_worklife_flag,high_hours_only_flag,low_worklife_only_flag,both_high_hours_and_low_wlb_flag,v079_num,v091_num,v097_num,v100_num,v101_num,supervisor_support_raw,institution_support_raw,supervisor_z,institution_z,supervisor_cat,institution_cat,support_quadrant_label,degree_prep_code,degree_prep_label,caring_responsibility_code,caring_responsibility_label
17,Master's,2.0,Europe,high,0,51-60 hours,2.0,4.0,3.0,2 years,2.0,1 year,1.0,Yes,1.0,1,0,1,0,0,8.0,1.0,3.0,2.0,3.0,4.5,2.6666666666666665,1.0859826283096543,-0.2374083328797255,High,Medium,High supervisor / Medium institution,2.0,Well,3.0,Neither agree nor disagree
18,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,6.0,6.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,0,1,0,0,1.0,1.0,5.0,1.0,5.0,1.0,3.6666666666666665,-1.348415062565872,0.6080901564504835,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
19,Doctorate,1.0,Europe,high,1,51-60 hours,2.0,3.0,1.0,4 years,4.0,4 years,4.0,No,0.0,1,1,0,0,1,6.0,1.0,2.0,2.0,2.0,3.5,2.0,0.3904404309166467,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
20,Doctorate,1.0,North/Central America,high,1,41-50 hours,1.0,3.0,1.0,4 years,4.0,1 year,1.0,Yes,1.0,1,1,0,0,1,3.0,3.0,1.0,4.0,3.0,3.0,2.6666666666666665,0.042669332220143,-0.2374083328797255,Medium,Medium,Medium supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
21,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,5.0,2.0,6 years,6.0,6 years,6.0,Yes,1.0,1,0,1,0,0,7.0,3.0,1.0,1.0,3.0,5.0,1.6666666666666667,1.433753727006158,-1.0829068222099345,High,Low,High supervisor / Low institution,2.0,Well,1.0,Somewhat agree
22,Doctorate,1.0,North/Central America,very_high,1,71-80 hours,6.0,2.0,4.0,6 years,6.0,3 years,3.0,No,0.0,1,1,0,0,1,3.0,2.0,1.0,1.0,3.0,2.5,1.6666666666666667,-0.3051017664763607,-1.0829068222099345,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
23,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,5 years ,5.0,1 year,1.0,No,0.0,1,0,1,0,0,4.0,5.0,2.0,3.0,5.0,4.5,3.333333333333333,1.0859826283096543,0.3262573266737473,High,Medium,High supervisor / Medium institution,4.0,Badly,1.0,Somewhat agree
24,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,3.0,1.0,5 years ,5.0,1 year,1.0,Yes,1.0,0,1,0,1,0,3.0,2.0,6.0,2.0,2.0,2.5,3.333333333333333,-0.3051017664763607,0.3262573266737473,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
25,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,5.0,2.0,5 years ,5.0,1 year,1.0,Yes,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,-1.348415062565872,-1.3647396519866708,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
26,Doctorate,1.0,North/Central America,very_high,1,61-70 hours,4.0,3.0,1.0,5 years ,5.0,Less than a year,0.5,Yes,1.0,1,1,0,0,1,1.0,2.0,6.0,3.0,3.0,1.5,4.0,-1.0006439638693685,0.8899229862272199,Low,High,Low supervisor / High institution,4.0,Badly,2.0,Strongly agree
27,Doctorate,1.0,Europe,very_high,0,61-70 hours,4.0,4.0,3.0,3 years,3.0,3 years,3.0,No,0.0,1,0,1,0,0,2.0,1.0,5.0,6.0,6.0,1.5,5.666666666666667,-1.0006439638693685,2.2990871351109017,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
28,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,4.0,3.0,6 years,6.0,2 years,2.0,Yes,1.0,1,0,1,0,0,1.0,2.0,2.0,1.0,1.0,1.5,1.3333333333333333,-1.0006439638693685,-1.3647396519866708,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
29,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,4.0,3.0,6 years,6.0,5 years,5.0,Yes,1.0,1,0,1,0,0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,0.7382115296131505,-0.801073992433198,High,Low,High supervisor / Low institution,2.0,Well,1.0,Somewhat agree
30,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,1,0,0,1,3.0,1.0,4.0,2.0,3.0,2.0,3.0,-0.6528728651728645,0.0444244968970109,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
31,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,5.0,2.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,0,1,0,0,6.0,4.0,2.0,1.0,5.0,5.0,2.6666666666666665,1.433753727006158,-0.2374083328797255,High,Medium,High supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
32,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,5 years,5.0,Yes,1.0,1,1,0,0,1,6.0,5.0,1.0,4.0,3.0,5.5,2.6666666666666665,1.781524825702662,-0.2374083328797255,High,Medium,High supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
33,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,6.0,6.0,5 years ,5.0,2 years,2.0,No,0.0,0,0,0,0,0,2.0,1.0,5.0,3.0,6.0,1.5,4.666666666666667,-1.0006439638693685,1.4535886457806928,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
34,Master's,2.0,Asia,very_high,1,61-70 hours,4.0,3.0,1.0,3 years,3.0,3 years,3.0,No,0.0,1,1,0,0,1,7.0,4.0,7.0,7.0,7.0,5.5,7.0,1.781524825702662,3.426418454217847,High,High,High supervisor / High institution,1.0,Very well,1.0,Somewhat agree
35,Master's,2.0,Asia,high,1,51-60 hours,2.0,2.0,4.0,3 years,3.0,1 year,1.0,Yes,1.0,1,1,0,0,1,4.0,3.0,3.0,1.0,3.0,3.5,2.333333333333333,0.3904404309166467,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
36,Doctorate,1.0,North/Central America,very_high,1,71-80 hours,6.0,2.0,4.0,6 years,6.0,2 years,2.0,No,0.0,1,1,0,0,1,2.0,1.0,2.0,1.0,2.0,1.5,1.6666666666666667,-1.0006439638693685,-1.0829068222099345,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
37,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,1.0,5.0,5 years ,5.0,3 years,3.0,No,0.0,1,1,0,0,1,6.0,3.0,4.0,5.0,4.0,4.5,4.333333333333333,1.0859826283096543,1.1717558160039558,High,High,High supervisor / High institution,2.0,Well,2.0,Strongly agree
38,Doctorate,1.0,Asia,very_high,1,61-70 hours,4.0,3.0,1.0,5 years ,5.0,5 years,5.0,No,0.0,1,1,0,0,1,2.0,2.0,3.0,1.0,3.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
39,Doctorate,1.0,Asia,medium,0,31-40 hours,3.0,2.0,4.0,5 years ,5.0,4 years,4.0,Yes,1.0,0,1,0,1,0,1.0,2.0,2.0,1.0,4.0,1.5,2.333333333333333,-1.0006439638693685,-0.5192411626564616,Low,Low,Low supervisor / Low institution,2.0,Well,5.0,Strongly disagree
40,Doctorate,1.0,Asia,high,0,51-60 hours,2.0,5.0,2.0,4 years,4.0,2 years,2.0,No,0.0,1,0,1,0,0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.042669332220143,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
41,Doctorate,1.0,Asia,high,1,51-60 hours,2.0,1.0,5.0,More than 7 years,8.0,7 years,7.0,Yes,1.0,1,1,0,0,1,7.0,3.0,4.0,4.0,3.0,5.0,3.6666666666666665,1.433753727006158,0.6080901564504835,High,High,High supervisor / High institution,1.0,Very well,5.0,Strongly disagree
42,Doctorate,1.0,Europe,high,1,41-50 hours,1.0,2.0,4.0,6 years,6.0,2 years,2.0,No,0.0,1,1,0,0,1,6.0,4.0,4.0,1.0,3.0,5.0,2.6666666666666665,1.433753727006158,-0.2374083328797255,High,Medium,High supervisor / Medium institution,3.0,Neither well nor badly,4.0,Somewhat disagree
43,Doctorate,1.0,Europe,high,1,51-60 hours,2.0,1.0,5.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,1,0,0,1,1.0,5.0,2.0,3.0,4.0,3.0,3.0,0.042669332220143,0.0444244968970109,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
44,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,4.0,3.0,5 years ,5.0,2 years,2.0,No,0.0,0,0,0,0,0,1.0,5.0,5.0,1.0,1.0,3.0,2.333333333333333,0.042669332220143,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,2.0,Well,2.0,Strongly agree
45,Doctorate,1.0,Europe,high,1,41-50 hours,1.0,1.0,5.0,4 years,4.0,2 years,2.0,Yes,1.0,1,1,0,0,1,6.0,5.0,1.0,5.0,4.0,5.5,3.333333333333333,1.781524825702662,0.3262573266737473,High,Medium,High supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
46,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,4.0,3.0,4 years,4.0,2 years,2.0,Yes,1.0,0,0,0,0,0,4.0,3.0,1.0,1.0,2.0,3.5,1.3333333333333333,0.3904404309166467,-1.3647396519866708,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
47,Master's,2.0,Europe,high,1,51-60 hours,2.0,3.0,1.0,2 years,2.0,2 years,2.0,Yes,1.0,1,1,0,0,1,3.0,4.0,5.0,6.0,1.0,3.5,4.0,0.3904404309166467,0.8899229862272199,Medium,High,Medium supervisor / High institution,1.0,Very well,2.0,Strongly agree
48,Doctorate,1.0,Asia,high,1,51-60 hours,2.0,1.0,5.0,6 years,6.0,3 years,3.0,Yes,1.0,1,1,0,0,1,4.0,1.0,3.0,5.0,1.0,2.5,3.0,-0.3051017664763607,0.0444244968970109,Medium,Medium,Medium supervisor / Medium institution,4.0,Badly,3.0,Neither agree nor disagree
49,Doctorate,1.0,Europe,high,1,51-60 hours,2.0,3.0,1.0,Other,,2 years,2.0,No,0.0,1,1,0,0,1,5.0,5.0,5.0,4.0,3.0,5.0,4.0,1.433753727006158,0.8899229862272199,High,High,High supervisor / High institution,2.0,Well,1.0,Somewhat agree
50,Doctorate,1.0,Asia,high,0,41-50 hours,1.0,6.0,6.0,5 years ,5.0,5 years,5.0,No,0.0,1,0,1,0,0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,-0.6528728651728645,-0.801073992433198,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
51,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,5.0,2.0,3 years,3.0,2 years,2.0,Yes,1.0,1,0,1,0,0,4.0,2.0,7.0,1.0,7.0,3.0,5.0,0.042669332220143,1.7354214755574289,Medium,High,Medium supervisor / High institution,1.0,Very well,1.0,Somewhat agree
52,Doctorate,1.0,Europe,high,1,41-50 hours,1.0,2.0,4.0,4 years,4.0,2 years,2.0,Yes,1.0,1,1,0,0,1,7.0,4.0,4.0,4.0,4.0,5.5,4.0,1.781524825702662,0.8899229862272199,High,High,High supervisor / High institution,2.0,Well,3.0,Neither agree nor disagree
53,Doctorate,1.0,Europe,high,1,51-60 hours,2.0,3.0,1.0,5 years ,5.0,2 years,2.0,No,0.0,1,1,0,0,1,2.0,1.0,2.0,4.0,2.0,1.5,2.6666666666666665,-1.0006439638693685,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
54,Master's,2.0,Europe,high,0,41-50 hours,1.0,4.0,3.0,2 years,2.0,2 years,2.0,No,0.0,1,0,1,0,0,1.0,3.0,1.0,1.0,2.0,2.0,1.3333333333333333,-0.6528728651728645,-1.3647396519866708,Low,Low,Low supervisor / Low institution,2.0,Well,2.0,Strongly agree
55,Doctorate,1.0,Asia,high,0,51-60 hours,2.0,5.0,2.0,4 years,4.0,2 years,2.0,No,0.0,1,0,1,0,0,2.0,2.0,4.0,1.0,5.0,2.0,3.333333333333333,-0.6528728651728645,0.3262573266737473,Low,Medium,Low supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
56,Doctorate,1.0,North/Central America,very_high,1,71-80 hours,6.0,1.0,5.0,More than 7 years,8.0,More than 7 years,8.0,No,0.0,1,1,0,0,1,6.0,4.0,4.0,5.0,4.0,5.0,4.333333333333333,1.433753727006158,1.1717558160039558,High,High,High supervisor / High institution,3.0,Neither well nor badly,5.0,Strongly disagree
57,Doctorate,1.0,North/Central America,high,1,41-50 hours,1.0,3.0,1.0,5 years ,5.0,Less than a year,0.5,Yes,1.0,1,1,0,0,1,1.0,5.0,2.0,3.0,2.0,3.0,2.333333333333333,0.042669332220143,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,1.0,Very well,2.0,Strongly agree
58,Master's,2.0,Asia,high,1,51-60 hours,2.0,2.0,4.0,3 years,3.0,2 years,2.0,No,0.0,1,1,0,0,1,5.0,1.0,2.0,1.0,3.0,3.0,2.0,0.042669332220143,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
59,Doctorate,1.0,Europe,high,0,51-60 hours,2.0,5.0,2.0,4 years,4.0,3 years,3.0,No,0.0,1,0,1,0,0,2.0,2.0,3.0,2.0,3.0,2.0,2.6666666666666665,-0.6528728651728645,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
60,Master's,2.0,Africa,high,0,51-60 hours,2.0,4.0,3.0,5 years ,5.0,5 years,5.0,Yes,1.0,1,0,1,0,0,5.0,3.0,4.0,2.0,1.0,4.0,2.333333333333333,0.7382115296131505,-0.5192411626564616,High,Low,High supervisor / Low institution,1.0,Very well,2.0,Strongly agree
61,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,6 years,6.0,5 years,5.0,Yes,1.0,1,1,0,0,1,6.0,4.0,1.0,2.0,3.0,5.0,2.0,1.433753727006158,-0.801073992433198,High,Low,High supervisor / Low institution,2.0,Well,4.0,Somewhat disagree
62,Doctorate,1.0,Europe,very_high,1,71-80 hours,6.0,1.0,5.0,5 years ,5.0,5 years,5.0,No,0.0,1,1,0,0,1,6.0,4.0,4.0,5.0,3.0,5.0,4.0,1.433753727006158,0.8899229862272199,High,High,High supervisor / High institution,6.0,Unsure/Not applicable,5.0,Strongly disagree
63,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,4.0,3.0,4 years,4.0,4 years,4.0,No,0.0,1,0,1,0,0,6.0,4.0,3.0,2.0,1.0,5.0,2.0,1.433753727006158,-0.801073992433198,High,Low,High supervisor / Low institution,1.0,Very well,3.0,Neither agree nor disagree
64,Doctorate,1.0,Australasia,high,0,41-50 hours,1.0,4.0,3.0,4 years,4.0,1 year,1.0,No,0.0,1,0,1,0,0,1.0,1.0,2.0,3.0,2.0,1.0,2.333333333333333,-1.348415062565872,-0.5192411626564616,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
65,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,5 years ,5.0,1 year,1.0,Yes,1.0,1,1,0,0,1,5.0,4.0,4.0,2.0,4.0,4.5,3.333333333333333,1.0859826283096543,0.3262573266737473,High,Medium,High supervisor / Medium institution,4.0,Badly,3.0,Neither agree nor disagree
66,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,7.0,7.0,5 years ,5.0,5 years,5.0,No,0.0,1,0,1,0,0,1.0,2.0,3.0,2.0,5.0,1.5,3.333333333333333,-1.0006439638693685,0.3262573266737473,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
67,Doctorate,1.0,Europe,high,0,51-60 hours,2.0,4.0,3.0,4 years,4.0,3 years,3.0,Yes,1.0,1,0,1,0,0,2.0,1.0,1.0,1.0,3.0,1.5,1.6666666666666667,-1.0006439638693685,-1.0829068222099345,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
68,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,4.0,3.0,4 years,4.0,3 years,3.0,Yes,1.0,1,0,1,0,0,5.0,5.0,2.0,1.0,2.0,5.0,1.6666666666666667,1.433753727006158,-1.0829068222099345,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
69,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,5.0,2.0,4 years,4.0,1 year,1.0,No,0.0,1,0,1,0,0,5.0,3.0,2.0,4.0,2.0,4.0,2.6666666666666665,0.7382115296131505,-0.2374083328797255,High,Medium,High supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
70,Doctorate,1.0,Asia,high,0,41-50 hours,1.0,6.0,6.0,4 years,4.0,Less than a year,0.5,No,0.0,1,0,1,0,0,1.0,1.0,3.0,3.0,5.0,1.0,3.6666666666666665,-1.348415062565872,0.6080901564504835,Low,High,Low supervisor / High institution,2.0,Well,2.0,Strongly agree
71,Doctorate,1.0,Australasia,medium,0,21-30 hours,5.0,6.0,6.0,4 years,4.0,Less than a year,0.5,No,0.0,0,0,0,0,0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,0.042669332220143,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,3.0,Neither well nor badly,3.0,Neither agree nor disagree
72,Doctorate,1.0,Africa,very_high,0,71-80 hours,6.0,4.0,3.0,6 years,6.0,6 years,6.0,Yes,1.0,1,0,1,0,0,1.0,2.0,4.0,5.0,4.0,1.5,4.333333333333333,-1.0006439638693685,1.1717558160039558,Low,High,Low supervisor / High institution,1.0,Very well,1.0,Somewhat agree
73,Doctorate,1.0,South America,medium,0,31-40 hours,3.0,6.0,6.0,6 years,6.0,5 years,5.0,Yes,1.0,0,0,0,0,0,3.0,1.0,2.0,1.0,2.0,2.0,1.6666666666666667,-0.6528728651728645,-1.0829068222099345,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
74,Master's,2.0,Asia,medium,0,31-40 hours,3.0,6.0,6.0,3 years,3.0,3 years,3.0,Yes,1.0,0,0,0,0,0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,-1.348415062565872,-0.801073992433198,Low,Low,Low supervisor / Low institution,2.0,Well,4.0,Somewhat disagree
75,Doctorate,1.0,Asia,medium,0,31-40 hours,3.0,4.0,3.0,3 years,3.0,2 years,2.0,Yes,1.0,0,0,0,0,0,4.0,1.0,2.0,3.0,2.0,2.5,2.333333333333333,-0.3051017664763607,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
76,Doctorate,1.0,Europe,high,0,51-60 hours,2.0,4.0,3.0,4 years,4.0,4 years,4.0,Yes,1.0,1,0,1,0,0,4.0,5.0,3.0,4.0,3.0,4.5,3.333333333333333,1.0859826283096543,0.3262573266737473,High,Medium,High supervisor / Medium institution,1.0,Very well,4.0,Somewhat disagree
77,Master's,2.0,North/Central America,low,0,11-20 hours,8.0,2.0,4.0,2 years,2.0,1 year,1.0,Yes,1.0,0,1,0,1,0,1.0,6.0,4.0,5.0,1.0,3.5,3.333333333333333,0.3904404309166467,0.3262573266737473,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
78,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,4.0,3.0,4 years,4.0,2 years,2.0,Yes,1.0,1,0,1,0,0,2.0,2.0,1.0,3.0,3.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,2.0,Well,3.0,Neither agree nor disagree
79,Doctorate,1.0,Asia,high,0,41-50 hours,1.0,4.0,3.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,0,1,0,0,2.0,2.0,6.0,3.0,5.0,2.0,4.666666666666667,-0.6528728651728645,1.4535886457806928,Low,High,Low supervisor / High institution,2.0,Well,1.0,Somewhat agree
80,Doctorate,1.0,Asia,very_high,0,71-80 hours,6.0,4.0,3.0,3 years,3.0,Less than a year,0.5,No,0.0,1,0,1,0,0,1.0,5.0,4.0,5.0,3.0,3.0,4.0,0.042669332220143,0.8899229862272199,Medium,High,Medium supervisor / High institution,1.0,Very well,2.0,Strongly agree
81,Doctorate,1.0,Europe,medium,0,21-30 hours,5.0,5.0,2.0,4 years,4.0,Less than a year,0.5,Yes,1.0,0,0,0,0,0,1.0,2.0,2.0,1.0,2.0,1.5,1.6666666666666667,-1.0006439638693685,-1.0829068222099345,Low,Low,Low supervisor / Low institution,3.0,Neither well nor badly,1.0,Somewhat agree
82,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,5 years ,5.0,1 year,1.0,Yes,1.0,1,1,0,0,1,7.0,1.0,6.0,3.0,1.0,4.0,3.333333333333333,0.7382115296131505,0.3262573266737473,High,Medium,High supervisor / Medium institution,2.0,Well,3.0,Neither agree nor disagree
83,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,4.0,3.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,0,1,0,0,6.0,4.0,2.0,1.0,2.0,5.0,1.6666666666666667,1.433753727006158,-1.0829068222099345,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
