col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v080,How satisfied are you with each of the following attributes or aspects of your degree? Overall compensation and benefits,Q27.g,Q27.g,likert,,,
v081,How satisfied are you with each of the following attributes or aspects of your degree? Vacation time,Q27.h,Q27.h,likert,,,
v082,How satisfied are you with each of the following attributes or aspects of your degree? Guidance received from adviser in lab/research ,Q27.i,Q27.i,likert,,,
v083,How satisfied are you with each of the following attributes or aspects of your degree? Ability to attend meetings and conferences,Q27.j,Q27.j,likert,,,
v084,How satisfied are you with each of the following attributes or aspects of your degree? Work-life balance,Q27.k,Q27.k,likert,,,
v085,How satisfied are you with each of the following attributes or aspects of your degree? Career pathway guidance and advice,Q27.l,Q27.l,likert,,,
v086,How satisfied are you with each of the following attributes or aspects of your degree? Quality of teaching,Q27.m,Q27.m,likert,,,
v087,How satisfied are you with each of the following attributes or aspects of your degree? Balance of teaching and practical elements,Q27.n,Q27.n,likert,,,
v088,To what extent does your graduate degree program compare to your initial expectations?,Q28,Q28,single,,,
v089,"On average, how many hours a week do you typically spend on your graduate degree?",Q29,Q29,single,,,
v090,"On average, how much one-on-one contact time do you spend with your supervisor each week?",Q30,Q30,single,,,
v091,My supervisor â¦ Makes time for frank conversations about my career   ,Q32.a,Q32.a,likert,,,
v092,My supervisor â¦ Is open to the idea of me pursuing a career outside academia,Q32.b,Q32.b,likert,,,
v093,My supervisor â¦ Has useful advice for careers outside academia,Q32.c,Q32.c,likert,,,
v094,My supervisor â¦ Has encouraged me to attend career training and events,Q32.d,Q32.d,likert,,,
v095,Have you ever received help for anxiety or depression linked to/connected to your studies?,Q33,Q33,single,,,
v096,Did you seek help for anxiety or depression within your institution? ,Q34,Q34,single,,,
v097,Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students,Q35.a,Q35.a,likert,,,
v098,My supervisor has a good awareness of support services and was able to signpost me to them if needed,Q35.b,Q35.b,likert,,,
v099,My university offers adequate one-to-one mental health support,Q35.c,Q35.c,likert,,,
v100,"My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities)",Q35.d,Q35.d,likert,,,
v101,My university supports good work-life balance,Q35.e,Q35.e,likert,,,
v102,"There is a long-hours culture at my university, including sometimes working through the night     ",Q35.f,Q35.f,likert,,,
v103,Do you feel that you have experienced bullying during your graduate degree?,Q36,Q36,single,,,
v104,Who was the perpetrator(s)? Please select all that apply.,Q37:1,Q37,multiple,Q37,,
v105,Who was the perpetrator(s)? Please select all that apply.,Q37:2,Q37,multiple,Q37,,
v106,Who was the perpetrator(s)? Please select all that apply.,Q37:3,Q37,multiple,Q37,,
v107,Who was the perpetrator(s)? Please select all that apply.,Q37:4,Q37,multiple,Q37,,
v108,Who was the perpetrator(s)? Please select all that apply.,Q37:5,Q37,multiple,Q37,,
v109,Who was the perpetrator(s)? Please select all that apply.,Q37:6,Q37,multiple,Q37,,
v110,Who was the perpetrator(s)? Please select all that apply.,Q37:7,Q37,multiple,Q37,,
v111,Do you feel able to speak out about your experiences of bullying without personal repercussions?,Q38,Q38,single,,,
v112,Do you feel that you have experienced discrimination or harassment during your graduate degree?,Q39,Q39,single,,,
v113,Which of the following have you experienced? ,Q40:1,Q40,multiple,Q40,,
v114,Which of the following have you experienced? ,Q40:2,Q40,multiple,Q40,,
v115,Which of the following have you experienced? ,Q40:3,Q40,multiple,Q40,,
v116,Which of the following have you experienced? ,Q40:4,Q40,multiple,Q40,,
v117,Which of the following have you experienced? ,Q40:5,Q40,multiple,Q40,,
v118,Which of the following have you experienced? ,Q40:6,Q40,multiple,Q40,,
v119,Which of the following have you experienced? ,Q40:7,Q40,multiple,Q40,,
v120,Which of the following have you experienced? ,Q40:8,Q40,multiple,Q40,,
v121,Which of the following have you experienced? ,Q40:9,Q40,multiple,Q40,,
v122,Which of the following have you experienced? ,Q40:10,Q40,multiple,Q40,,
v123,How much do you expect your graduate degree to improve your job prospects?,Q41.a,Q41.a,likert,,,
v124,Academia ,Q42.a:1,Q42.a,numeric,Q42.a,numeric,
v125,Academia ,Q42.a:2,Q42.a,numeric,Q42.a,numeric,
v126,Academia ,Q42.a:3,Q42.a,numeric,Q42.a,numeric,
v127,Academia ,Q42.a:4,Q42.a,numeric,Q42.a,numeric,
v128,Academia ,Q42.a:5,Q42.a,numeric,Q42.a,numeric,
v129,Industry ,Q42.b:1,Q42.b,numeric,Q42.b,numeric,
v130,Industry ,Q42.b:2,Q42.b,numeric,Q42.b,numeric,
v131,Industry ,Q42.b:3,Q42.b,numeric,Q42.b,numeric,
v132,Industry ,Q42.b:4,Q42.b,numeric,Q42.b,numeric,
v133,Industry ,Q42.b:5,Q42.b,numeric,Q42.b,numeric,
v134,Government ,Q42.c:1,Q42.c,numeric,Q42.c,numeric,
v135,Government ,Q42.c:2,Q42.c,numeric,Q42.c,numeric,
v136,Government ,Q42.c:3,Q42.c,numeric,Q42.c,numeric,
v137,Government ,Q42.c:4,Q42.c,numeric,Q42.c,numeric,
v138,Government ,Q42.c:5,Q42.c,numeric,Q42.c,numeric,
v139,Non-profit ,Q42.d:1,Q42.d,numeric,Q42.d,numeric,
v140,Non-profit ,Q42.d:2,Q42.d,numeric,Q42.d,numeric,
v141,Non-profit ,Q42.d:3,Q42.d,numeric,Q42.d,numeric,
v142,Non-profit ,Q42.d:4,Q42.d,numeric,Q42.d,numeric,
v143,Non-profit ,Q42.d:5,Q42.d,numeric,Q42.d,numeric,
v144,Medical,Q42.e:1,Q42.e,numeric,Q42.e,numeric,
v145,Medical,Q42.e:2,Q42.e,numeric,Q42.e,numeric,
v146,Medical,Q42.e:3,Q42.e,numeric,Q42.e,numeric,
v147,Medical,Q42.e:4,Q42.e,numeric,Q42.e,numeric,
v148,Medical,Q42.e:5,Q42.e,numeric,Q42.e,numeric,
v149,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:1,Q43,multiple,Q43,,
v150,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:2,Q43,multiple,Q43,,
v151,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:3,Q43,multiple,Q43,,
v152,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:4,Q43,multiple,Q43,,
v153,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:5,Q43,multiple,Q43,,
v154,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:6,Q43,multiple,Q43,,
v155,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:7,Q43,multiple,Q43,,
v156,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:8,Q43,multiple,Q43,,
v157,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:9,Q43,multiple,Q43,,
v158,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:10,Q43,multiple,Q43,,
v159,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:11,Q43,multiple,Q43,,
v160,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:12,Q43,multiple,Q43,,
v161,"If youâre unlikely to pursue an academic research career, what are the main reasons? ",Q43:13,Q43,multiple,Q43,,
v162,"In terms of the quality of your graduate degree program, do you think that the COVID-19 pandemic hasâ¦",Q44,Q44,single,,,
v163,How long do you think it will take you to find a permanent (non-trainee) position after you graduate?,Q47,Q47,single,,,
v164,How much more likely are you now to pursue a research career than when you launched your graduate degree?,Q48.a,Q48.a,likert,,,
v165,How do you learn about available career opportunities that are beyond academia? ,Q49:1,Q49,multiple,Q49,,
v166,How do you learn about available career opportunities that are beyond academia? ,Q49:2,Q49,multiple,Q49,,
v167,How do you learn about available career opportunities that are beyond academia? ,Q49:3,Q49,multiple,Q49,,
v168,How do you learn about available career opportunities that are beyond academia? ,Q49:4,Q49,multiple,Q49,,
v169,How do you learn about available career opportunities that are beyond academia? ,Q49:5,Q49,multiple,Q49,,
v170,How do you learn about available career opportunities that are beyond academia? ,Q49:6,Q49,multiple,Q49,,
v171,How do you learn about available career opportunities that are beyond academia? ,Q49:7,Q49,multiple,Q49,,
v172,How do you learn about available career opportunities that are beyond academia? ,Q49:8,Q49,multiple,Q49,,
v173,How do you learn about available career opportunities that are beyond academia? ,Q49:9,Q49,multiple,Q49,,
v174,How do you learn about available career opportunities that are beyond academia? ,Q49:10,Q49,multiple,Q49,,
v175,How do you learn about available career opportunities that are beyond academia? ,Q49:11,Q49,multiple,Q49,,
v176,How do you learn about available career opportunities that are beyond academia? ,Q49:12,Q49,multiple,Q49,,
v177,How do you learn about available career opportunities that are beyond academia? ,Q49:13,Q49,multiple,Q49,,
v178,How do you learn about available career opportunities that are beyond academia? ,Q49:14,Q49,multiple,Q49,,
v179,How do you learn about available career opportunities that are beyond academia? ,Q49:15,Q49,multiple,Q49,,
v180,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:1,Q50,multiple,Q50,,
v181,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:2,Q50,multiple,Q50,,
v182,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:3,Q50,multiple,Q50,,
v183,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:4,Q50,multiple,Q50,,
v184,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:5,Q50,multiple,Q50,,
v185,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:6,Q50,multiple,Q50,,
v186,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:7,Q50,multiple,Q50,,
v187,Which of the following would you say are the most difficult for graduate students in the country where you are studying? ,Q50:8,Q50,multiple,Q50,,
v188,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:1,Q51,multiple,Q51,,
v189,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:2,Q51,multiple,Q51,,
v190,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:3,Q51,multiple,Q51,,
v191,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:4,Q51,multiple,Q51,,
v192,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:5,Q51,multiple,Q51,,
v193,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:6,Q51,multiple,Q51,,
v194,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:7,Q51,multiple,Q51,,
v195,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51:8,Q51,multiple,Q51,,
v196,Which of the following resources do you think graduate students need the most in order to establish a satisfying career? ,Q51.a,Q51.a,multiple,,,
v197,How well is your current graduate degree preparing you to carry out each of the following activities? Collecting and analyzing data     ,Q52.a,Q52.a,likert,,,
v198,How well is your current graduate degree preparing you to carry out each of the following activities? Designing robust reproducible experiments,Q52.b,Q52.b,likert,,,
v199,How well is your current graduate degree preparing you to carry out each of the following activities? Writing a paper for publication in a peer-reviewed journal,Q52.c,Q52.c,likert,,,
v200,How well is your current graduate degree preparing you to carry out each of the following activities? Applying for funding ,Q52.d,Q52.d,likert,,,
v201,How well is your current graduate degree preparing you to carry out each of the following activities? Finding a satisfying career,Q52.e,Q52.e,likert,,,
v202,How well is your current graduate degree preparing you to carry out each of the following activities? Managing complex projects,Q52.f,Q52.f,likert,,,
v203,How well is your current graduate degree preparing you to carry out each of the following activities? Developing a business plan,Q52.g,Q52.g,likert,,,
v204,How well is your current graduate degree preparing you to carry out each of the following activities? Managing people,Q52.h,Q52.h,likert,,,
v205,How well is your current graduate degree preparing you to carry out each of the following activities? Managing a large operational budget,Q52.i,Q52.i,likert,,,
v206,I feel that my graduate degree program is preparing me well for a research career,Q53.a,Q53.a,likert,,,
v207,I feel that my graduate degree program is preparing me well for a non-research science-related career,Q53.b,Q53.b,likert,,,
v208,"Which, if any, of the following activities have you done to advance your career? ",Q54:1,Q54,multiple,Q54,,
v209,"Which, if any, of the following activities have you done to advance your career? ",Q54:2,Q54,multiple,Q54,,
v210,"Which, if any, of the following activities have you done to advance your career? ",Q54:3,Q54,multiple,Q54,,
v211,"Which, if any, of the following activities have you done to advance your career? ",Q54:4,Q54,multiple,Q54,,
v212,"Which, if any, of the following activities have you done to advance your career? ",Q54:5,Q54,multiple,Q54,,
v213,"Which, if any, of the following activities have you done to advance your career? ",Q54:6,Q54,multiple,Q54,,
v214,"Which, if any, of the following activities have you done to advance your career? ",Q54:7,Q54,multiple,Q54,,
v215,"Which, if any, of the following activities have you done to advance your career? ",Q54:8,Q54,multiple,Q54,,
v216,What would you do differently right now if you were starting your graduate degree? ,Q55:1,Q55,multiple,Q55,,
v217,What would you do differently right now if you were starting your graduate degree? ,Q55:2,Q55,multiple,Q55,,
v218,What would you do differently right now if you were starting your graduate degree? ,Q55:3,Q55,multiple,Q55,,
v219,What would you do differently right now if you were starting your graduate degree? ,Q55:4,Q55,multiple,Q55,,
v220,What would you do differently right now if you were starting your graduate degree? ,Q55:5,Q55,multiple,Q55,,
v221,What would you do differently right now if you were starting your graduate degree? ,Q55:6,Q55,multiple,Q55,,
v222,Name:,Q67.a,Q67.a,numeric,,numeric,
v001_code,The published format which was employed [coded],ID.format,ID.format,single_coded,,numeric,"{""1"": ""SNAP 2015 SHIFT"", ""2"": ""Smartphone"", ""3"": ""Tablet""}"
v002_code,Case completed in Snap Interviewer [coded],ID.completed,ID.completed,single_coded,,numeric,"{""1"": ""completed""}"
v003_code,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],ID.language,ID.language,single_coded,,numeric,"{""1"": ""English"", ""2"": ""Chinese (Simplified, China)"", ""3"": ""French"", ""4"": ""Portuguese"", ""5"": ""Spanish""}"
v004_code,"Which, if any, of the following degrees are you currently studying for? [coded]",Q2,Q2,single_coded,,numeric,"{""1"": ""Doctorate degree (PhD/DPhil/MD)"", ""2"": ""Master's degree (MA/MS/MSc/PSM or other Master’s)"", ""3"": ""Dual doctorate degree (MD-PhD, PhD-PhD or other combination)""}"
v005_code,What will be the total duration of your graduate degree? [coded],Q3,Q3,single_coded,,numeric,"{""1"": ""4 years"", ""2"": ""5 years"", ""3"": ""3 years"", ""4"": ""6 years"", ""5"": ""2 years"", ""6"": ""More than 7 years"", ""7"": ""7 years"", ""8"": ""1 year"", ""9"": ""Other""}"
v006_code,How far into your graduate degree are you? [coded],Q4,Q4,single_coded,,numeric,"{""1"": ""2 years"", ""2"": ""3 years"", ""3"": ""1 year"", ""4"": ""Less than a year"", ""5"": ""4 years"", ""6"": ""5 years"", ""7"": ""6 years"", ""8"": ""7 years"", ""9"": ""More than 7 years""}"
v016_code,Are you studying in the country you grew up in? Â   [coded],Q6,Q6,single_coded,,numeric,"{""1"": ""Yes"", ""2"": ""No""}"
v030_code,Where do you currently live? [coded],Q8,Q8,single_coded,,numeric,"{""1"": ""Europe"", ""2"": ""North or Central America"", ""3"": ""Asia (including Middle East)"", ""4"": ""South America"", ""5"": ""Australasia"", ""6"": ""Africa""}"
v031_code,Which country/region in Asia? [coded],Q9,Q9,single_coded,,numeric,"{""1"": ""China"", ""2"": ""India"", ""3"": ""South Korea"", ""4"": ""Japan"", ""5"": ""Israel and the Palestinian territories"", ""6"": ""Singapore"", ""7"": ""Hong Kong"", ""8"": ""Pakistan"", ""9"": ""Taiwan"", ""10"": ""Iran"", ""11"": ""Malaysia"", ""12"": ""Turkey"", ""13"": ""Nepal"", ""14"": ""Philippines"", ""15"": ""Lebanon"", ""16"": ""Thailand"", ""17"": ""Bangladesh"", ""18"": ""Qatar"", ""19"": ""Jordan"", ""20"": ""Saudi Arabia"", ""21"": ""Indonesia"", ""22"": ""Other"", ""23"": ""Kuwait"", ""24"": ""Iraq""}"
v032_code,Which country in Australasia? [coded],Q10,Q10,single_coded,,numeric,"{""1"": ""Australia"", ""2"": ""New Zealand""}"
v033_code,Which country in Africa? [coded],Q11,Q11,single_coded,,numeric,"{""1"": ""South Africa"", ""2"": ""Nigeria"", ""3"": ""Ethiopia"", ""4"": ""Kenya"", ""5"": ""Morocco"", ""6"": ""Ghana"", ""7"": ""Algeria"", ""8"": ""Egypt"", ""9"": ""Uganda"", ""10"": ""Cameroon"", ""11"": ""Namibia"", ""12"": ""Botswana"", ""13"": ""Zimbabwe"", ""14"": ""Tunisia"", ""15"": ""Lesotho"", ""16"": ""Rwanda"", ""17"": ""Niger"", ""18"": ""Malawi"", ""19"": ""Senegal"", ""20"": ""Congo, Democratic Republic of""}"
v034_code,Which country in Europe? [coded],Q12,Q12,single_coded,,numeric,"{""1"": ""France"", ""2"": ""Germany"", ""3"": ""United Kingdom"", ""4"": ""Spain"", ""5"": ""Italy"", ""6"": ""Sweden"", ""7"": ""Switzerland"", ""8"": ""Netherlands"", ""9"": ""Portugal"", ""10"": ""Poland"", ""11"": ""Austria"", ""12"": ""Belgium"", ""13"": ""Denmark"", ""14"": ""Norway"", ""15"": ""Ireland"", ""16"": ""Czech Republic"", ""17"": ""Finland"", ""18"": ""Greece"", ""19"": ""Hungary"", ""20"": ""Russia"", ""21"": ""Luxembourg"", ""22"": ""Slovenia"", ""23"": ""Malta"", ""24"": ""Slovakia (Slovak Republic)"", ""25"": ""Romania"", ""26"": ""Croatia"", ""27"": ""Turkey"", ""28"": ""Bosnia and Herzegovina"", ""29"": ""Lithuania"", ""30"": ""Ukraine"", ""31"": ""Cyprus""}"
v035_code,Which country in North or Central America? [coded],Q13,Q13,single_coded,,numeric,"{""1"": ""United States"", ""2"": ""Canada"", ""3"": ""Mexico"", ""4"": ""Guatemala"", ""5"": ""Other"", ""6"": ""United States Virgin Islands"", ""7"": ""Panama""}"
v036_code,Which country in South America? [coded],Q14,Q14,single_coded,,numeric,"{""1"": ""Brazil"", ""2"": ""Chile"", ""3"": ""Argentina"", ""4"": ""Colombia"", ""5"": ""Peru"", ""6"": ""Ecuador"", ""7"": ""Paraguay""}"
v037_code,Do you have a job alongside your studies? [coded],Q15,Q15,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes""}"
v038_code,What is your main reason for having a job? [coded],Q16,Q16,single_coded,,numeric,"{""1"": ""To help pay living costs/provide extra income"", ""2"": ""To develop additional skills"", ""3"": ""To pay for study or study materials"", ""4"": ""Other"", ""5"": ""To make myself more attractive to future employers"", ""6"": ""To reduce debt"", ""7"": ""To broaden my contacts""}"
v039_code,Do you expect to go into debt as a result of your graduate degree? [coded],Q17,Q17,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes"", ""3"": ""Unsure"", ""4"": ""Prefer not to say"", ""5"": ""Other""}"
v040_code,How much debt do you expect to be in on completion of your graduate degree? [coded],Q18,Q18,single_coded,,numeric,"{""1"": ""Less than $10,000"", ""2"": ""$10-19,999"", ""3"": ""Prefer not to say"", ""4"": ""$20-29,999"", ""5"": ""$40-69,999"", ""6"": ""$30-39,999"", ""7"": ""$70-100,000"", ""8"": ""More than $100,000""}"
v071_code,Are you planning on pursuing a PhD once youâve completed your Master's degree? [coded],Q24,Q24,single_coded,,numeric,"{""1"": ""Yes"", ""2"": ""I’m not sure"", ""3"": ""No""}"
v073_code,"Since the very start of your graduate school experience, would you say your level of satisfaction has: [coded]",Q26,Q26,single_coded,,numeric,"{""1"": ""Worsened a little"", ""2"": ""Improved slightly"", ""3"": ""Significantly worsened"", ""4"": ""Stayed the same"", ""5"": ""Improved greatly""}"
v088_code,To what extent does your graduate degree program compare to your initial expectations? [coded],Q28,Q28,single_coded,,numeric,"{""1"": ""Meets original expectations"", ""2"": ""Does not meet original expectations"", ""3"": ""Exceeds original expectations""}"
v089_code,"On average, how many hours a week do you typically spend on your graduate degree? [coded]",Q29,Q29,single_coded,,numeric,"{""1"": ""41-50 hours"", ""2"": ""51-60 hours"", ""3"": ""31-40 hours"", ""4"": ""61-70 hours"", ""5"": ""21-30 hours"", ""6"": ""71-80 hours"", ""7"": ""More than 80 hours"", ""8"": ""11-20 hours"", ""9"": ""Less than 11 hours""}"
v090_code,"On average, how much one-on-one contact time do you spend with your supervisor each week? [coded]",Q30,Q30,single_coded,,numeric,"{""1"": ""Less than an hour"", ""2"": ""Between one and three hours"", ""3"": ""More than three hours"", ""4"": ""Other""}"
v095_code,Have you ever received help for anxiety or depression linked to/connected to your studies? [coded],Q33,Q33,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes"", ""3"": ""I want help but have not yet sought it"", ""4"": ""I want help/have asked for help but have not yet received it"", ""5"": ""Prefer not to say""}"
